NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
HALLMARK_TNFA_SIGNALING_VIA_NFKB	HALLMARK_TNFA_SIGNALING_VIA_NFKB	Details ...	94	-0.10232082	---	---	1.0	0.0	258	tags=16%, list=3%, signal=16%	
HALLMARK_PROTEIN_SECRETION	HALLMARK_PROTEIN_SECRETION	Details ...	62	-0.20079777	---	---	1.0	0.0	4057	tags=79%, list=41%, signal=134%	
HALLMARK_INTERFERON_GAMMA_RESPONSE	HALLMARK_INTERFERON_GAMMA_RESPONSE	Details ...	110	-0.36161014	---	---	1.0	0.0	3619	tags=86%, list=37%, signal=135%	
HALLMARK_COMPLEMENT	HALLMARK_COMPLEMENT	Details ...	111	-0.14000359	---	---	1.0	0.0	227	tags=16%, list=2%, signal=16%	
HALLMARK_MYC_TARGETS_V1	HALLMARK_MYC_TARGETS_V1	Details ...	98	-0.3443466	---	---	1.0	0.0	4521	tags=90%, list=46%, signal=165%	
HALLMARK_INFLAMMATORY_RESPONSE	HALLMARK_INFLAMMATORY_RESPONSE	Details ...	125	-0.11721398	---	---	1.0	0.0	390	tags=21%, list=4%, signal=21%	
HALLMARK_OXIDATIVE_PHOSPHORYLATION	HALLMARK_OXIDATIVE_PHOSPHORYLATION	Details ...	104	-0.34460095	---	---	1.0	0.0	4384	tags=88%, list=45%, signal=158%	
HALLMARK_HEME_METABOLISM	HALLMARK_HEME_METABOLISM	Details ...	91	-0.13138878	---	---	1.0	0.0	4596	tags=76%, list=47%, signal=141%	
HALLMARK_ALLOGRAFT_REJECTION	HALLMARK_ALLOGRAFT_REJECTION	Details ...	122	-0.27103987	---	---	1.0	0.0	188	tags=24%, list=2%, signal=24%	
HALLMARK_INTERFERON_ALPHA_RESPONSE	HALLMARK_INTERFERON_ALPHA_RESPONSE	Details ...	55	-0.43964097	-3.381379	0.0	0.0	0.0	3386	tags=89%, list=34%, signal=135%	
HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	HALLMARK_REACTIVE_OXYGEN_SPECIES_PATHWAY	Details ...	25	-0.3895325	-2.1481068	0.0	2.946128E-4	0.001	2959	tags=84%, list=30%, signal=120%	
HALLMARK_UNFOLDED_PROTEIN_RESPONSE	HALLMARK_UNFOLDED_PROTEIN_RESPONSE	Details ...	52	-0.25334412	-1.8957969	0.0	0.0031057098	0.006	5001	tags=87%, list=51%, signal=175%	
HALLMARK_DNA_REPAIR	HALLMARK_DNA_REPAIR	Details ...	65	-0.21636379	-1.4898587	0.0	0.02611289	0.063	6879	tags=95%, list=70%, signal=316%	
HALLMARK_APOPTOSIS	HALLMARK_APOPTOSIS	Details ...	69	-0.12469528	-1.1316403	0.0	0.12738425	0.278	278	tags=19%, list=3%, signal=19%	
HALLMARK_MTORC1_SIGNALING	HALLMARK_MTORC1_SIGNALING	Details ...	91	-0.10139198	-1.0131413	0.0	0.19658339	0.41	3867	tags=70%, list=39%, signal=115%	
HALLMARK_PI3K_AKT_MTOR_SIGNALING	HALLMARK_PI3K_AKT_MTOR_SIGNALING	Details ...	42	-0.10714987	-0.7281373	1.0	0.3725637	0.657	4259	tags=74%, list=43%, signal=130%	
