gene_id,gene_name,meancov1k,meancov950,meancovNDR,meancov380_190,meanFFT950,meanFFTNDR,meanSL1k,meanSL950,meansimpson1k,TPM
ENSG00000187634.12,SAMD11,1.4065029621124268,1.4218151569366455,1.5197757482528689,1.452283501625061,0.3054051399230957,0.513648271560669,0.5667656064033508,0.5464396476745605,2.1754677,8.375
ENSG00000188976.11,NOC2L,1.020052790641785,1.0027599334716797,0.2467166930437088,0.6482255458831787,0.0523069463670253,0.2431414872407913,0.8999999761581421,0.9036827087402344,2.0666492,39.581
ENSG00000187961.14,KLHL17,1.1414960622787476,1.1427838802337646,0.8262621164321899,1.0936081409454346,0.0544218085706234,0.1943469643592834,0.7576470375061035,0.7660098671913147,2.1695676,4.928
ENSG00000187583.11,PLEKHN1,1.1358725627263386,1.1387395064036052,1.124861200650533,1.2213013966878254,0.0509834264715512,0.0736506481965382,0.6608986258506775,0.650602400302887,2.0899989333333333,17.485
ENSG00000187642.9,PERM1,1.476011037826538,1.4640812873840332,1.287746787071228,1.333702802658081,0.2728370130062103,0.2637630701065063,0.438340812921524,0.4394673109054565,2.0049443,13.186
ENSG00000188290.11,HES4,1.0235438346862793,1.0161191821098328,0.7244566679000854,0.933284878730774,0.0404176171869039,0.0601809490472078,0.561880499124527,0.5655278265476227,2.276206,2.764
ENSG00000188157.15,AGRN,0.7746995091438293,0.7499915361404419,0.3106013834476471,0.6031205058097839,0.104601040482521,0.0349091216921806,0.7109826803207397,0.7348242998123169,2.2357965,25.564
ENSG00000131591.18,C1orf159,0.949575980504354,0.9444655179977416,0.5867262979348501,0.6986796458562216,0.1127750525871912,0.1412553588549296,0.6475281318028768,0.6525885661443075,2.176764966666666,14.535
ENSG00000186891.14,TNFRSF18,1.0868907272815704,1.097074955701828,0.9997310787439346,1.0582110583782196,0.1739971851930022,0.2210426442325115,0.5048954859375954,0.4989711344242096,2.00583235,2.046
ENSG00000078808.19,SDF4,0.624032586812973,0.6018921732902527,0.1587584093213081,0.3642729967832565,0.128352865576744,0.0992141626775264,0.6617357134819031,0.6554487347602844,2.2687591,100.453
ENSG00000160087.21,UBE2J2,0.7211808959643046,0.7161543567975363,0.556431233882904,0.607923169930776,0.1187061568101247,0.1919426297148068,0.6598698298136393,0.64214555422465,2.2111264333333334,24.682
ENSG00000162572.21,SCNN1D,1.0967984795570374,1.0949420928955078,1.06264129281044,1.011852651834488,0.0407438836991786,0.1000906182453036,0.5199008882045746,0.5197430700063705,2.07155535,1.889
